area_sqft,bedrooms,age_years,distance_city_km,price_lakh
2968,5,13,24,158.3
2863,3,35,3.7,123.9
1215,3,22,23.7,55.4
856,5,37,10.7,82.2
759,5,2,1.4,82.4
2723,2,15,6.3,138.1
846,2,3,20.8,71.9
1090,3,40,15.4,69.6
1147,1,14,,92.3
1660,1,5,5.3,106.7
1086,5,27,1.9,80.9
1174,2,37,2.9,70.4
2397,1,40,2.9,118.1
1902,2,1,24.5,89.9
1647,4,36,24.2,89.1
2344,3,3,24.2,120.4
893,2,15,5.2,67.5
2529,5,35,17.1,139.2
2480,5,21,2.5,142.2
2070,2,22,10.2,106.9
1623,3,14,8.9,102.6
2743,3,20,4.3,135.7
2431,1,28,6.5,98.5
2563,5,25,1.8,156.2
1930,1,16,17.4,96
957,1,19,9.5,67.1
2848,2,32,11.2,138.4
798,4,10,18.3,74.3
799,4,40,1.1,69.7
923,3,30,22.3,50.1
1386,2,24,9,75.5
1399,2,16,4.2,83.2
1290,4,0,6.1,74.4
1238,4,35,18,63
2264,4,12,5.2,139.1
1408,1,36,1.7,70.5
1646,3,8,3.8,114
1336,2,25,12.4,80.6
1300,3,27,9.7,92
,2,40,6.5,112.8
1221,4,32,6.4,69.8
1880,4,28,21.1,120.4
1074,5,35,8.1,84.4
2191,3,15,13.3,121.3
2723,2,15,6.3,138.1
